a_etage,cheminee,classification_f,cuve_eau,douche_wc,etat_general,garage_ferme,gardien_securite,groupe_electrogene,loyer_mensuel,meuble,nombre_chambres,nombre_salles_eau,piscine,quartier,superficie,surface_terrain,terrasse_balcon,type_d_acces,type_logement,nom_quartier,id_quartier
False,False,F3,False,interieur,bon,False,False,False,1600000.0,False,2,1.0,False,ambatomitsangana,0.0,0.0,False,voiture_avec_parking,Appartement,ambatomitsangana,359.0
False,False,F3,False,interieur,bon,False,False,False,1600000.0,False,2,1.0,False,ambatomitsangana,0.0,0.0,False,voiture_avec_parking,Appartement,ambatomitsangana,572.0
False,True,F6,False,interieur,bon,False,True,False,12500000.0,False,5,3.0,True,ambohibao,0.0,0.0,True,voiture_avec_parking,Villa,ambohibao,360.0
False,True,F6,False,interieur,bon,False,True,False,12500000.0,False,5,3.0,True,ambohibao,0.0,0.0,True,voiture_avec_parking,Villa,ambohibao,439.0
False,True,F6,False,interieur,bon,False,True,False,12500000.0,False,5,3.0,True,ambohibao,0.0,0.0,True,voiture_avec_parking,Villa,ambohibao,675.0
False,True,F6,False,interieur,bon,False,True,False,12500000.0,False,5,3.0,True,ambohibao,0.0,0.0,True,voiture_avec_parking,Villa,ambohibao,870.0
False,True,F5,False,interieur,bon,True,False,False,3000000.0,False,4,2.0,False,ampandrana ankadivato,0.0,0.0,True,voiture_avec_parking,Appartement,ampandrana ankadivato,5.0
False,False,F4,True,interieur,bon,True,False,False,1000000.0,False,4,1.0,False,amboditsiry,0.0,0.0,False,voiture_avec_parking,Appartement,amboditsiry,144.0
False,True,F4,False,interieur,bon,False,False,False,1100000.0,False,3,2.0,False,ambatobe,0.0,0.0,False,voiture_avec_parking,Appartement,ambatobe,143.0
False,True,F4,False,interieur,bon,False,False,False,1100000.0,False,3,2.0,False,ambatobe,0.0,0.0,False,voiture_avec_parking,Appartement,ambatobe,499.0
False,True,F4,False,interieur,bon,False,False,False,1100000.0,False,3,2.0,False,ambatobe,0.0,0.0,False,voiture_avec_parking,Appartement,ambatobe,550.0
True,False,F5,False,interieur,bon,False,True,False,3000000.0,False,4,2.0,False,avaradoha,0.0,0.0,True,voiture_avec_parking,Villa,avaradoha,89.0
False,False,F3,False,interieur,bon,False,False,False,2500000.0,False,2,1.0,False,ambatobe,0.0,0.0,False,voiture,Villa,ambatobe,143.0
False,False,F3,False,interieur,bon,False,False,False,2500000.0,False,2,1.0,False,ambatobe,0.0,0.0,False,voiture,Villa,ambatobe,499.0
False,False,F3,False,interieur,bon,False,False,False,2500000.0,False,2,1.0,False,ambatobe,0.0,0.0,False,voiture,Villa,ambatobe,550.0
True,False,F6,True,interieur,bon,False,True,False,6600000.0,False,5,3.0,True,ambatobe,0.0,0.0,True,voiture_avec_parking,Appartement,ambatobe,143.0
True,False,F6,True,interieur,bon,False,True,False,6600000.0,False,5,3.0,True,ambatobe,0.0,0.0,True,voiture_avec_parking,Appartement,ambatobe,499.0
True,False,F6,True,interieur,bon,False,True,False,6600000.0,False,5,3.0,True,ambatobe,0.0,0.0,True,voiture_avec_parking,Appartement,ambatobe,550.0
False,False,F5,False,interieur,bon,False,True,True,5750000.0,False,4,3.0,False,tanjombato iraitsimivaky,0.0,0.0,True,voiture_avec_parking,Villa,tanjombato iraitsimivaky,769.0
False,False,F2,True,interieur,bon,False,True,True,3750000.0,True,1,1.0,False,analamahitsy cite,0.0,0.0,True,voiture_avec_parking,Appartement,analamahitsy cite,141.0
False,False,F4,False,interieur,bon,False,True,False,5500000.0,True,3,3.0,False,ilafy,0.0,0.0,True,voiture_avec_parking,Appartement,ilafy,220.0
False,False,F4,True,interieur,bon,False,True,False,4800000.0,False,3,3.0,True,ambatobe,0.0,0.0,True,voiture_avec_parking,Appartement,ambatobe,143.0
False,False,F4,True,interieur,bon,False,True,False,4800000.0,False,3,3.0,True,ambatobe,0.0,0.0,True,voiture_avec_parking,Appartement,ambatobe,499.0
False,False,F4,True,interieur,bon,False,True,False,4800000.0,False,3,3.0,True,ambatobe,0.0,0.0,True,voiture_avec_parking,Appartement,ambatobe,550.0
False,False,F4,False,interieur,bon,False,False,False,2500000.0,False,3,1.0,False,ampandrana ankadivato,0.0,0.0,False,voiture_avec_parking,Appartement,ampandrana ankadivato,5.0
False,True,F8,False,interieur,bon,False,False,False,6000000.0,False,8,2.0,False,ankerana ankadindramamy,0.0,0.0,True,voiture,Villa,ankerana ankadindramamy,153.0
False,False,F5,False,interieur,bon,False,True,False,4000000.0,False,4,2.0,False,tanjombato iraitsimivaky,0.0,0.0,True,voiture,Villa,tanjombato iraitsimivaky,769.0
False,False,F0,False,interieur,bon,False,False,False,1900000.0,False,5,2.0,False,ambohimiandra fenomanana antsa,0.0,0.0,False,voiture_avec_parking,Appartement,ambohimiandra fenomanana antsa,61.0
False,False,F4,False,interieur,bon,True,False,False,1400000.0,False,3,1.0,False,analamahitsy tanana,0.0,0.0,True,voiture_avec_parking,Villa,analamahitsy tanana,142.0
False,False,F0,False,interieur,bon,False,False,False,800000.0,False,2,1.0,False,ambatovinaky,0.0,0.0,False,sans,Appartement,ambatovinaky,3.0
False,False,F4,False,interieur,bon,False,False,False,3000000.0,False,3,2.0,False,manazary,0.0,0.0,False,voiture_avec_parking,Villa,manazary,224.0
False,False,F4,False,interieur,bon,False,False,False,3000000.0,False,3,2.0,False,manazary,0.0,0.0,False,voiture_avec_parking,Villa,manazary,377.0
False,False,F0,False,interieur,bon,False,False,False,900000.0,True,1,1.0,False,ankerana ankadindramamy,0.0,0.0,True,voiture_avec_parking,Appartement,ankerana ankadindramamy,153.0
