id_quartier,Nom_Fokontany
720,Ankadilalampotsy
721,IIIG-I
722,Manjakaray
723,Soamanandrariny
724,Ambohitrandriana
725,Amoronakona
726,IIIH-I
727,Tsarazaza
728,Ankazo
729,Manankasina
730,Ambohinambo
731,Lazaina
732,Ankadibe
733,Anjeva
734,Andranonahoatra
735,Antsahabe
736,Andriamasy
737,Ambalatokana
738,IIa
739,Hangar
